regime_id,rho_global_pre,rho_global_post,rho_discarded_pre,local_unity_post,local_unity_ok_post,global_discarded_budget
face04,0.548907149265607,0.5642281103358111,0.0016056117156063717,1.0,True,0.029999520540967616
face07,0.1780161176419215,0.18183651806865833,0.0016346079321618871,1.0000000000000002,True,0.029999520540967616
face05,0.09896125986036122,0.10005280008303494,0.0019099958085986247,1.0,True,0.029999520540967616
face10,0.06755120622647379,0.06688501657302583,0.002672708082013403,0.9999999999999998,True,0.029999520540967616
face06,0.05746396549435683,0.05710367870607491,0.002073369770589628,1.0,True,0.029999520540967616
face01,0.010249979306104336,0.007757506687266883,0.002725194100048808,1.0,True,0.029999520540967616
face03,0.00745443065299992,0.0045981669463095055,0.002994206510447025,1.0,True,0.029999520540967616
face09,0.006637188047686665,0.0038377862731915967,0.0029145335226295234,1.0,True,0.029999520540967616
face00,0.006485423140569256,0.0038206562281766073,0.002779384767389808,0.9999999999999998,True,0.029999520540967616
face08,0.006390601397259408,0.003577980194528552,0.0029199588930717904,1.0,True,0.029999520540967616
face11,0.006043932507964022,0.003348193668561838,0.002796183044137342,1.0,True,0.029999520540967616
face02,0.0058387464586961355,0.0029535862353599293,0.0029737663942734057,1.0,True,0.029999520540967616
