rank,item_id,regime_id,rho_global_post,rho_global_pre,rho_local_pre,rho_local_post,value,tau,exclusion
1,face04/pix1636,face04,0.10783250542690245,0.1045975819653641,0.1905560568946991,0.19111508882945213,0.25972609230325056,1.6627253164644175e-06,global
2,face10/pix3738,face10,0.060377171168253856,0.058565884981586304,0.8669850362884258,0.9027009973501817,0.14542485746550013,1.6627253164644175e-06,global
3,face04/pix2407,face04,0.038115098182930005,0.0369716635120702,0.06735504094187017,0.06755263958799408,0.09180427988402629,1.6627253164644175e-06,global
4,face06/pix0894,face06,0.03616746338210783,0.03508245682146159,0.6105122839965998,0.6333648584755748,0.08711319370320605,1.6627253164644175e-06,global
5,face04/pix1706,face04,0.033985602110889294,0.03296605034226652,0.06005760789665868,0.06023379815419355,0.081857948082436,1.6627253164644175e-06,global
6,face04/pix2412,face04,0.021236025017731627,0.020598954449003688,0.03752721107124112,0.03763730418375044,0.051149231598336425,1.6627253164644175e-06,global
7,face07/pix1620,face07,0.019526630417654407,0.0189408408673441,0.10639958402779856,0.10738563752238968,0.04703197235517346,1.6627253164644175e-06,global
8,face07/pix1635,face07,0.019240389735749912,0.01866318726865606,0.1048398735792956,0.10581147252547518,0.04634253113821436,1.6627253164644175e-06,global
9,face04/pix2648,face04,0.01838622151454194,0.01783464368454566,0.032491184908790056,0.03258650389396415,0.04428517585943571,1.6627253164644175e-06,global
10,face07/pix2385,face07,0.018363624849645873,0.0178127249087623,0.10006242774371985,0.10098975191942515,0.04423074938154478,1.6627253164644175e-06,global
11,face07/pix1615,face07,0.017960412473699575,0.017421608710770572,0.09786534467521671,0.09877230747961216,0.043259569361584725,1.6627253164644175e-06,global
12,face07/pix1613,face07,0.01741402167384863,0.016891609372943157,0.09488808989150377,0.09576746111731747,0.04194352883415831,1.6627253164644175e-06,global
13,face05/pix2724,face05,0.015630598511448775,0.01516168805033695,0.15320831678710206,0.15622349897730764,0.03764796390167869,1.6627253164644175e-06,global
