rank,item_id,regime_id,rho_global_post,rho_global_pre,rho_local_pre,rho_local_post,value,tau,exclusion
1,TCS=70/phase=8/status=Green Termination,TCS=70,0.0031923383878691143,0.0010403120936280884,0.42105263157894735,0.5,8.0,0.0005,global
2,TCS=197/phase=2/status=Green Termination,TCS=197,0.0031923383878691143,0.0010403120936280884,0.36363636363636365,0.5,8.0,0.0005,global
3,TCS=197/phase=6/status=Green Termination,TCS=197,0.0031923383878691143,0.0010403120936280884,0.36363636363636365,0.5,8.0,0.0005,global
4,TCS=94/phase=2/status=Green Termination,TCS=94,0.0031923383878691143,0.0010403120936280884,0.25806451612903225,0.3076923076923077,8.0,0.0005,global
5,TCS=94/phase=6/status=Green Termination,TCS=94,0.0031923383878691143,0.0010403120936280884,0.25806451612903225,0.3076923076923077,8.0,0.0005,global
6,TCS=70/phase=4/status=Green Termination,TCS=70,0.0031923383878691143,0.0010403120936280884,0.42105263157894735,0.5,8.0,0.0005,global
7,TCS=167/phase=4/status=Green Termination,TCS=167,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
8,TCS=358/phase=8/status=Green Termination,TCS=358,0.002793296089385475,0.0009102730819245773,0.35,0.5,7.0,0.0005,global
9,TCS=220/phase=4/status=Green Termination,TCS=220,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
10,TCS=220/phase=8/status=Green Termination,TCS=220,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
11,TCS=167/phase=8/status=Green Termination,TCS=167,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
12,TCS=248/phase=4/status=Green Termination,TCS=248,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
13,TCS=271/phase=8/status=Green Termination,TCS=271,0.002793296089385475,0.0009102730819245773,0.35,0.5,7.0,0.0005,global
14,TCS=271/phase=4/status=Green Termination,TCS=271,0.002793296089385475,0.0009102730819245773,0.35,0.5,7.0,0.0005,global
15,TCS=358/phase=4/status=Green Termination,TCS=358,0.002793296089385475,0.0009102730819245773,0.35,0.5,7.0,0.0005,global
16,TCS=248/phase=8/status=Green Termination,TCS=248,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
17,TCS=259/phase=4/status=Green Termination,TCS=259,0.002793296089385475,0.0009102730819245773,0.5,0.5,7.0,0.0005,global
18,TCS=259/phase=8/status=Green Termination,TCS=259,0.002793296089385475,0.0009102730819245773,0.5,0.5,7.0,0.0005,global
19,TCS=879/phase=6/status=Green Termination,TCS=879,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
20,TCS=730/phase=4/status=Green Termination,TCS=730,0.002793296089385475,0.0009102730819245773,0.5,0.5,7.0,0.0005,global
21,TCS=730/phase=8/status=Green Termination,TCS=730,0.002793296089385475,0.0009102730819245773,0.5,0.5,7.0,0.0005,global
22,TCS=879/phase=2/status=Green Termination,TCS=879,0.002793296089385475,0.0009102730819245773,0.3888888888888889,0.5,7.0,0.0005,global
23,TCS=285/phase=6/status=Green Termination,TCS=285,0.0023942537909018356,0.0007802340702210664,0.375,0.5,6.0,0.0005,global
24,TCS=347/phase=6/status=Green Termination,TCS=347,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
25,TCS=44/phase=2/status=Green Termination,TCS=44,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
26,TCS=341/phase=4/status=Green Termination,TCS=341,0.0023942537909018356,0.0007802340702210664,0.2727272727272727,0.2727272727272727,6.0,0.0005,global
27,TCS=323/phase=6/status=Green Termination,TCS=323,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
28,TCS=266/phase=2/status=Green Termination,TCS=266,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
29,TCS=266/phase=6/status=Green Termination,TCS=266,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
30,TCS=270/phase=5/status=Green Termination,TCS=270,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,1.0,6.0,0.0005,global
31,TCS=346/phase=2/status=Green Termination,TCS=346,0.0023942537909018356,0.0007802340702210664,0.375,0.5,6.0,0.0005,global
32,TCS=135/phase=4/status=Green Termination,TCS=135,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
33,TCS=135/phase=8/status=Green Termination,TCS=135,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
34,TCS=328/phase=1/status=Green Termination,TCS=328,0.0023942537909018356,0.0007802340702210664,0.6,1.0,6.0,0.0005,global
35,TCS=341/phase=8/status=Green Termination,TCS=341,0.0023942537909018356,0.0007802340702210664,0.2727272727272727,0.2727272727272727,6.0,0.0005,global
36,TCS=136/phase=4/status=Green Termination,TCS=136,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,0.5,6.0,0.0005,global
37,TCS=415/phase=2/status=Green Termination,TCS=415,0.0023942537909018356,0.0007802340702210664,0.5,0.5,6.0,0.0005,global
38,TCS=323/phase=2/status=Green Termination,TCS=323,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
39,TCS=415/phase=6/status=Green Termination,TCS=415,0.0023942537909018356,0.0007802340702210664,0.5,0.5,6.0,0.0005,global
40,TCS=346/phase=6/status=Green Termination,TCS=346,0.0023942537909018356,0.0007802340702210664,0.375,0.5,6.0,0.0005,global
41,TCS=136/phase=8/status=Green Termination,TCS=136,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,0.5,6.0,0.0005,global
42,TCS=175/phase=4/status=Green Termination,TCS=175,0.0023942537909018356,0.0007802340702210664,0.21428571428571427,0.25,6.0,0.0005,global
43,TCS=175/phase=8/status=Green Termination,TCS=175,0.0023942537909018356,0.0007802340702210664,0.21428571428571427,0.25,6.0,0.0005,global
44,TCS=175/phase=10/status=Green Termination,TCS=175,0.0023942537909018356,0.0007802340702210664,0.21428571428571427,0.25,6.0,0.0005,global
45,TCS=175/phase=12/status=Green Termination,TCS=175,0.0023942537909018356,0.0007802340702210664,0.21428571428571427,0.25,6.0,0.0005,global
46,TCS=477/phase=8/status=Green Termination,TCS=477,0.0023942537909018356,0.0007802340702210664,0.75,1.0,6.0,0.0005,global
47,TCS=529/phase=4/status=Green Termination,TCS=529,0.0023942537909018356,0.0007802340702210664,0.35294117647058826,0.5,6.0,0.0005,global
48,TCS=529/phase=8/status=Green Termination,TCS=529,0.0023942537909018356,0.0007802340702210664,0.35294117647058826,0.5,6.0,0.0005,global
49,TCS=606/phase=4/status=Green Termination,TCS=606,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
50,TCS=606/phase=8/status=Green Termination,TCS=606,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
51,TCS=609/phase=4/status=Green Termination,TCS=609,0.0023942537909018356,0.0007802340702210664,0.5,0.5,6.0,0.0005,global
52,TCS=609/phase=8/status=Green Termination,TCS=609,0.0023942537909018356,0.0007802340702210664,0.5,0.5,6.0,0.0005,global
53,TCS=610/phase=2/status=Green Termination,TCS=610,0.0023942537909018356,0.0007802340702210664,0.3,0.3,6.0,0.0005,global
54,TCS=347/phase=2/status=Green Termination,TCS=347,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
55,TCS=668/phase=2/status=Green Termination,TCS=668,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
56,TCS=668/phase=6/status=Green Termination,TCS=668,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
57,TCS=3/phase=5/status=Green Termination,TCS=3,0.0023942537909018356,0.0007802340702210664,0.3,0.3333333333333333,6.0,0.0005,global
58,TCS=44/phase=6/status=Green Termination,TCS=44,0.0023942537909018356,0.0007802340702210664,0.42857142857142855,0.5,6.0,0.0005,global
59,TCS=744/phase=1/status=Green Termination,TCS=744,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,0.5454545454545454,6.0,0.0005,global
60,TCS=747/phase=7/status=Green Termination,TCS=747,0.0023942537909018356,0.0007802340702210664,0.6666666666666666,1.0,6.0,0.0005,global
61,TCS=793/phase=2/status=Green Termination,TCS=793,0.0023942537909018356,0.0007802340702210664,0.3,0.3,6.0,0.0005,global
62,TCS=610/phase=6/status=Green Termination,TCS=610,0.0023942537909018356,0.0007802340702210664,0.3,0.3,6.0,0.0005,global
63,TCS=827/phase=4/status=Green Termination,TCS=827,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
64,TCS=827/phase=8/status=Green Termination,TCS=827,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.5,6.0,0.0005,global
65,TCS=829/phase=2/status=Green Termination,TCS=829,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.3,6.0,0.0005,global
66,TCS=829/phase=6/status=Green Termination,TCS=829,0.0023942537909018356,0.0007802340702210664,0.2857142857142857,0.3,6.0,0.0005,global
67,TCS=845/phase=4/status=Green Termination,TCS=845,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,0.375,6.0,0.0005,global
68,TCS=845/phase=8/status=Green Termination,TCS=845,0.0023942537909018356,0.0007802340702210664,0.3333333333333333,0.375,6.0,0.0005,global
69,TCS=285/phase=2/status=Green Termination,TCS=285,0.0023942537909018356,0.0007802340702210664,0.375,0.5,6.0,0.0005,global
70,TCS=793/phase=6/status=Green Termination,TCS=793,0.0023942537909018356,0.0007802340702210664,0.3,0.3,6.0,0.0005,global
71,TCS=36/phase=8/status=Green Termination,TCS=36,0.0019952114924181963,0.0006501950585175553,0.25,0.5,5.0,0.0005,global
72,TCS=38/phase=4/status=Green Termination,TCS=38,0.0019952114924181963,0.0006501950585175553,0.3125,0.5,5.0,0.0005,global
