rank,item_id,regime_id,rho_global_post,rho_global_pre,rho_local_pre,rho_local_post,value,tau,exclusion
1,"TCS=619/band=MinorOdd(1,3,5,7)",TCS=619,0.0046974343630787644,0.00469273075083692,0.8486486486486486,0.8486486486486486,314.0,0.05,local
2,"TCS=683/band=MajorEven(2,4,6,8)",TCS=683,0.0021841573790111453,0.002181970349115256,1.0,1.0,146.0,0.05,local
3,"TCS=197/band=MajorEven(2,4,6,8)",TCS=197,0.002004637594434887,0.0020026303204208513,1.0,1.0,134.0,0.05,local
4,"TCS=371/band=MajorEven(2,4,6,8)",TCS=371,0.0018849577380507143,0.0018830703012912482,1.0,1.0,126.0,0.05,local
5,"TCS=829/band=MajorEven(2,4,6,8)",TCS=829,0.0018400777919066497,0.001838235294117647,0.968503937007874,1.0,123.0,0.05,local
6,"TCS=136/band=MajorEven(2,4,6,8)",TCS=136,0.001825117809858628,0.0018232902917264466,1.0,1.0,122.0,0.05,local
7,"TCS=972/band=MajorEven(2,4,6,8)",TCS=972,0.001825117809858628,0.0018232902917264466,1.0,1.0,122.0,0.05,local
8,"TCS=133/band=MajorEven(2,4,6,8)",TCS=133,0.001825117809858628,0.0018232902917264466,1.0,1.0,122.0,0.05,local
9,"TCS=30/band=MajorEven(2,4,6,8)",TCS=30,0.0018101578278106067,0.0018083452893352463,0.9453125,0.9453125,121.0,0.05,local
10,"TCS=93/band=MajorEven(2,4,6,8)",TCS=93,0.001765277881666542,0.0017635102821616452,1.0,1.0,118.0,0.05,local
11,"TCS=509/band=MajorEven(2,4,6,8)",TCS=509,0.0017353579175704988,0.0017336202773792443,1.0,1.0,116.0,0.05,local
12,"TCS=271/band=MajorEven(2,4,6,8)",TCS=271,0.0017353579175704988,0.0017336202773792443,1.0,1.0,116.0,0.05,local
13,"TCS=219/band=MajorEven(2,4,6,8)",TCS=219,0.0017353579175704988,0.0017336202773792443,1.0,1.0,116.0,0.05,local
14,"TCS=383/band=MajorEven(2,4,6,8)",TCS=383,0.0017054379534744558,0.0017037302725968436,0.912,0.912,114.0,0.05,local
